OS And    2447578.00    810.   15.60 0.15    1
OS And    2447754.00    986.   14.93 0.09    9
OS And    2447818.00   1050.   14.95 0.08    6
OS And    2447882.00   1114.   15.13 0.14    6
OS And    2448074.00   1306.   15.90 0.15    1
OS And    2448138.00   1370.   14.84 0.07    5
CI Aql    2451664.75      0.75  9.38 0.07    5
CI Aql    2451665.25      1.25  9.15 0.11    2
CI Aql    2451665.75      1.75  9.19 0.07    8
CI Aql    2451666.25      2.25  9.00 0.28    2
CI Aql    2451666.75      2.75  9.13 0.02   25
CI Aql    2451667.25      3.25  9.33 0.08    4
CI Aql    2451667.75      3.75  9.18 0.02   15
CI Aql    2451668.25      4.25  9.06 0.18    5
CI Aql    2451668.75      4.75  9.32 0.04   14
CI Aql    2451669.25      5.25  9.40 0.08    4
CI Aql    2451669.75      5.75  8.78 0.07   13
CI Aql    2451670.50      6.5   9.08 0.04   14
CI Aql    2451671.50      7.5   9.07 0.04   15
CI Aql    2451672.50      8.5   9.04 0.06    9
CI Aql    2451673.50      9.5   9.47 0.05    9
CI Aql    2451674.50     10.5   9.56 0.05   12
CI Aql    2451675.50     11.5   9.64 0.05   12
CI Aql    2451676.50     12.5   9.96 0.10    9
CI Aql    2451677.50     13.5   9.92 0.06   11
CI Aql    2451678.50     14.5  10.01 0.06   13
CI Aql    2451679.50     15.5  10.25 0.03   31
CI Aql    2451680.50     16.5   9.80 0.02   23
CI Aql    2451681.50     17.5   9.88 0.03   27
CI Aql    2451682.50     18.5   9.83 0.11    4
CI Aql    2451683.50     19.5  10.11 0.08    7
CI Aql    2451684.50     20.5  10.71 0.05   15
CI Aql    2451685.50     21.5  11.06 0.13    5
CI Aql    2451686.50     22.5  10.43 0.18    4
CI Aql    2451687.50     23.5  10.48 0.21    4
CI Aql    2451688.50     24.5  10.11 0.09    8
CI Aql    2451689.50     25.5  10.13 0.12    6
CI Aql    2451690.50     26.5  10.17 0.06   14
CI Aql    2451691.50     27.5  10.44 0.06   20
CI Aql    2451692.50     28.5  10.67 0.08    6
CI Aql    2451693.50     29.5  10.05 0.08    6
CI Aql    2451694.50     30.5  10.55 0.04   17
CI Aql    2451695.50     31.5  10.73 0.08   15
CI Aql    2451696.50     32.5  10.68 0.25    4
CI Aql    2451697.50     33.5  11.13 0.09   12
CI Aql    2451698.50     34.5  11.08 0.10   13
CI Aql    2451699.50     35.5  11.26 0.08   13
CI Aql    2451700.50     36.5  11.62 0.07   13
CI Aql    2451701.50     37.5  11.79 0.10    8
CI Aql    2451702.50     38.5  11.85 0.10    4
CI Aql    2451703.50     39.5  11.88 0.11   10
CI Aql    2451704.50     40.5  11.73 0.07   16
CI Aql    2451705.50     41.5  12.01 0.07   11
CI Aql    2451706.50     42.5  12.14 0.09    9
CI Aql    2451707.50     43.5  12.38 0.07   15
CI Aql    2451708.50     44.5  12.50 0.12    3
CI Aql    2451709.50     45.5  12.50 0.15    1
CI Aql    2451711.00     47.   12.55 0.11    2
CI Aql    2451713.00     49.   12.60 0.07    5
CI Aql    2451715.00     51.   13.01 0.08   14
CI Aql    2451717.00     53.   12.43 0.10    6
CI Aql    2451719.00     55.   12.36 0.05   18
CI Aql    2451721.00     57.   12.43 0.05   16
CI Aql    2451723.00     59.   12.25 0.10   11
